Group	Color	Taxlevel
Tateyamaria	darkolivegreen3	
uncultured_Desulfocapsaceae	darksalmon	
SEEP-SRB4	gray40	
S25-593_ge	tan3	
uncultured_Ectothiorhodospiraceae	gold2	
Marinobacterium	orange	
Pseudomonas	darkorange4	
SAR92_clade	cyan	
Spongiibacter	dodgerblue3	
KI89A_clade_ge	darkmagenta	
OM182_clade_ge	darksalmon	
Pseudohongiella	darkseagreen1	
Crocinitomix	gold	
Fluviicola	darkgoldenrod3	
NS9_marine_group_ge	pink	
Candidatus_Actinomarina	tomato2	
Coraliomargarita	tomato2	
Lentimonas	darkorange	
Luteolibacter	yellow	
Roseibacillus	darkolivegreen3	
Candidatus_Nitrosopumilus	slateblue4	
Marine_Group_II_ge	tan	
Thermoplasmata	tan	
Nanoarchaeia	slateblue4	
Micrarchaeia	darkolivegreen3	
Iainarchaeia	yellow	
Methanosarcinia	darkorange	
Nitrososphaeria	tomato2	
Bathyarchaeia	pink	
Lokiarchaeia	darkgoldenrod3	
Heimdallarchaeia	gold	
Asgardarchaeota_unclassified	darkseagreen	
Archaea_unclassified	darksalmon	
Altiarchaeia	darkmagenta	
Aenigmarchaeia	cyan	
Sulfurimonas	yellow	
Sulfurovum	darksalmon	
